user_id,activity_count
-10,1
-1,2170
0,7257
1,3
2,45023
3,12922
4,3
5,1079
7,94
8,55
9,436
12,76
13,60
14,64
15,147
16,433
17,63
18,74
19,138
20,95
21,70
22,84
23,67
24,102
25,1894
26,65
27,63
28,60
29,74
30,169
31,63
32,99
36,111
37,71
38,287
39,500
40,350
41,103
42,4916
43,982
44,1028
45,4241
46,90
47,84
48,2710
49,78
50,1697
51,900
52,113
53,73
54,141
55,123
56,211
57,2836
58,2241
59,106
60,230
61,2669
62,195
63,72
64,86
65,165
66,80
67,640
68,302
69,151
70,105
71,128
72,86
73,667
74,218
75,147
76,9
77,3832
78,201
79,72
80,445
81,115
82,96
83,142
84,544
85,144
86,462
87,66
88,1486
89,71
90,4644
91,68
92,83
93,94
94,231
95,4004
96,234
97,71
98,1910
99,671
100,141
101,122
102,1593
103,865
104,94
105,317
106,128
107,280
108,145
109,83
110,80
111,79
112,83
113,84
114,83
115,1063
116,165
117,71
118,1316
119,118
120,437
121,294
122,82
123,1138
124,93
125,121
126,736
127,412
128,97
129,106
130,224
131,287
132,351
133,919
134,394
135,309
136,78
137,171
138,781
139,119
140,177
141,645
142,72
143,772
144,145
145,649
146,958
147,1487
148,266
149,205
150,98
151,126
152,132
153,457
154,79
155,95
156,784
157,114
158,114
159,443
160,145
161,240
162,80
163,86
164,84
165,6015
166,137
167,1171
168,451
169,84
170,2450
171,85
172,95
173,66
174,1810
175,109
176,106
177,67
178,257
179,471
180,602
181,83
182,859
183,79
184,339
185,2522
186,159
187,71
188,156
189,647
190,1872
191,87
192,70
193,138
194,529
195,124
196,67
197,72
198,173
199,267
200,86
201,4964
202,352
203,149
204,135
205,82
206,72
207,94
208,98
209,233
210,3075
211,104
212,74
213,294
214,120
215,105
216,68
217,1434
218,75
219,126
220,110
221,101
222,581
223,182
224,82
225,149
226,93
227,120
228,5063
229,72
230,70
231,84
232,94
233,322
234,1677
235,107
236,187
237,157
238,73
239,143
240,103
241,767
242,515
243,104
244,310
245,79
246,13917
247,130
248,80
249,68
250,908
251,77
252,102
253,578
254,814
255,583
256,152
257,68
258,238
259,2211
260,138
261,80
262,1756
263,310
264,92
265,147
266,3902
267,133
268,526
269,81
270,425
271,444
272,226
273,90
274,1876
275,111
276,73
277,912
278,258
279,66
280,528
281,110
282,588
283,73
284,1670
285,176
286,1215
287,140
288,97
289,684
290,8558
291,409
292,88
293,85
294,1409
295,209
296,157
297,142
298,217
299,724
300,72
301,903
302,89
303,293
304,36
305,66
306,160
307,131
308,46
309,84
310,41
311,59
312,41
313,87
314,42
315,65
316,52
317,82
318,45
319,203
320,83
321,48
322,47
323,42
324,47
325,41
326,53
327,37
328,4297
329,52
330,66
331,971
332,97
333,61
334,100
335,54
336,51
337,41
338,48
339,131
340,2016
341,502
342,74
343,89
344,6019
345,52
346,273
347,7320
348,305
349,231
350,52
351,292
352,37
353,756
354,204
355,52
356,193
357,47
358,52
359,99
360,41
361,1285
362,1385
